01/11/2024 17:48:44 26.31C, 26.00C, 25.81C, 26.00C, 26.00C, 25.81C
01/11/2024 18:00:26 34.69C, 32.31C, 33.25C, 32.88C, 35.44C, 33.00C
01/11/2024 18:00:28 34.69C, 32.31C, 33.25C, 32.81C, 35.44C, 33.00C
01/11/2024 18:00:31 34.69C, 32.31C, 33.31C, 32.88C, 35.44C, 33.00C
01/11/2024 18:00:33 34.69C, 32.31C, 33.31C, 32.88C, 35.44C, 33.00C
01/11/2024 18:00:35 34.69C, 32.31C, 33.31C, 32.88C, 35.44C, 33.00C
01/11/2024 18:00:38 34.69C, 32.31C, 33.31C, 32.88C, 35.44C, 33.00C
01/11/2024 18:00:40 34.69C, 32.31C, 33.31C, 32.88C, 35.50C, 33.00C
01/11/2024 18:00:43 34.75C, 32.38C, 33.31C, 32.88C, 35.44C, 33.00C
01/11/2024 18:00:45 34.69C, 32.38C, 33.31C, 32.88C, 35.50C, 33.06C
01/11/2024 18:00:47 34.69C, 32.31C, 33.31C, 32.94C, 35.50C, 33.06C
01/11/2024 18:00:50 34.69C, 32.38C, 33.31C, 32.94C, 35.50C, 33.06C
01/11/2024 18:00:52 34.69C, 32.38C, 33.31C, 32.88C, 35.50C, 33.06C
01/11/2024 18:00:55 34.69C, 32.38C, 33.31C, 32.94C, 35.50C, 33.06C
01/11/2024 18:00:57 34.69C, 32.38C, 33.31C, 32.94C, 35.50C, 33.06C
01/11/2024 18:01:00 34.75C, 32.38C, 33.31C, 32.94C, 35.56C, 33.06C
01/11/2024 18:01:02 34.69C, 32.38C, 33.31C, 32.94C, 35.56C, 33.06C
01/11/2024 18:01:04 34.75C, 32.38C, 33.31C, 32.94C, 35.56C, 33.13C
01/11/2024 18:01:07 34.69C, 32.38C, 33.25C, 33.00C, 35.56C, 33.13C
01/11/2024 18:01:09 34.75C, 32.38C, 33.25C, 32.94C, 35.56C, 33.13C
01/11/2024 18:01:12 34.75C, 32.38C, 33.31C, 32.94C, 35.56C, 33.13C
01/11/2024 18:01:14 34.75C, 32.44C, 33.31C, 32.94C, 35.56C, 33.13C
01/11/2024 18:01:17 34.75C, 32.44C, 33.31C, 33.00C, 35.56C, 33.13C
01/11/2024 18:01:19 34.75C, 32.38C, 33.31C, 33.00C, 35.56C, 33.13C
01/11/2024 18:01:21 34.75C, 32.44C, 33.31C, 33.00C, 35.63C, 33.13C
01/11/2024 18:01:24 34.75C, 32.44C, 33.31C, 33.00C, 35.63C, 33.19C
01/11/2024 18:01:26 34.81C, 32.44C, 33.31C, 33.06C, 35.63C, 33.19C
01/11/2024 18:01:29 34.75C, 32.44C, 33.31C, 33.06C, 35.63C, 33.19C
01/11/2024 18:01:31 34.81C, 32.44C, 33.31C, 33.06C, 35.63C, 33.19C
01/11/2024 18:01:33 34.81C, 32.44C, 33.31C, 33.06C, 35.63C, 33.25C
01/11/2024 18:01:36 34.81C, 32.44C, 33.31C, 33.00C, 35.63C, 33.19C
01/11/2024 18:01:38 34.81C, 32.44C, 33.25C, 33.06C, 35.63C, 33.19C
01/11/2024 18:01:41 34.81C, 32.44C, 33.25C, 33.06C, 35.63C, 33.25C
01/11/2024 18:01:43 34.81C, 32.44C, 33.31C, 33.06C, 35.69C, 33.25C
01/11/2024 18:01:46 34.81C, 32.50C, 33.25C, 33.06C, 35.69C, 33.25C
01/11/2024 18:01:48 34.88C, 32.44C, 33.31C, 33.06C, 35.69C, 33.25C
01/11/2024 18:01:50 34.88C, 32.50C, 33.25C, 33.06C, 35.69C, 33.25C
01/11/2024 18:01:53 34.88C, 32.50C, 33.25C, 33.13C, 35.69C, 33.25C
01/11/2024 18:01:55 34.88C, 32.50C, 33.31C, 33.06C, 35.75C, 33.25C
01/11/2024 18:01:58 34.88C, 32.50C, 33.25C, 33.13C, 35.75C, 33.25C
01/11/2024 18:02:00 34.88C, 32.50C, 33.31C, 33.06C, 35.75C, 33.25C
01/11/2024 18:02:02 34.88C, 32.50C, 33.31C, 33.06C, 35.75C, 33.25C
01/11/2024 18:02:05 34.94C, 32.50C, 33.31C, 33.13C, 35.75C, 33.25C
01/11/2024 18:02:07 34.94C, 32.50C, 33.31C, 33.13C, 35.75C, 33.25C
01/11/2024 18:02:10 34.94C, 32.56C, 33.31C, 33.13C, 35.75C, 33.25C
01/11/2024 18:02:12 34.94C, 32.56C, 33.38C, 33.13C, 35.75C, 33.25C
01/11/2024 18:02:15 34.94C, 32.56C, 33.31C, 33.13C, 35.75C, 33.25C
01/11/2024 18:02:17 34.94C, 32.56C, 33.31C, 33.13C, 35.75C, 33.25C
01/11/2024 18:02:19 34.94C, 32.56C, 33.31C, 33.13C, 35.81C, 33.31C
01/11/2024 18:02:22 34.94C, 32.56C, 33.31C, 33.13C, 35.81C, 33.31C
01/11/2024 18:02:24 34.94C, 32.56C, 33.31C, 33.13C, 35.81C, 33.31C
01/11/2024 18:02:27 34.94C, 32.56C, 33.31C, 33.13C, 35.81C, 33.31C
01/11/2024 18:02:29 34.94C, 32.63C, 33.31C, 33.13C, 35.81C, 33.31C
01/11/2024 18:02:32 34.94C, 32.56C, 33.31C, 33.19C, 35.88C, 33.31C
01/11/2024 18:02:34 35.00C, 32.63C, 33.31C, 33.13C, 35.81C, 33.31C
01/11/2024 18:02:36 34.94C, 32.63C, 33.31C, 33.13C, 35.88C, 33.31C
01/11/2024 18:02:39 34.94C, 32.63C, 33.38C, 33.19C, 35.88C, 33.31C
01/11/2024 18:02:41 34.94C, 32.63C, 33.31C, 33.19C, 35.88C, 33.31C
01/11/2024 18:02:44 35.00C, 32.63C, 33.31C, 33.19C, 35.88C, 33.31C
01/11/2024 18:02:46 34.94C, 32.63C, 33.31C, 33.19C, 35.88C, 33.38C
01/11/2024 18:02:48 35.00C, 32.63C, 33.31C, 33.19C, 35.88C, 33.38C
01/11/2024 18:02:51 35.00C, 32.63C, 33.31C, 33.19C, 35.88C, 33.38C
01/11/2024 18:02:53 35.00C, 32.63C, 33.31C, 33.19C, 35.88C, 33.38C
01/11/2024 18:02:56 35.00C, 32.63C, 33.31C, 33.19C, 35.88C, 33.38C
01/11/2024 18:02:58 35.00C, 32.63C, 33.31C, 33.19C, 35.88C, 33.38C
01/11/2024 18:03:01 35.00C, 32.63C, 33.31C, 33.25C, 35.88C, 33.38C
01/11/2024 18:03:03 35.00C, 32.63C, 33.31C, 33.25C, 35.88C, 33.38C
01/11/2024 18:03:05 34.94C, 32.63C, 33.31C, 33.25C, 35.88C, 33.38C
01/11/2024 18:03:08 34.94C, 32.63C, 33.31C, 33.25C, 35.88C, 33.38C
01/11/2024 18:03:10 35.00C, 32.69C, 33.31C, 33.25C, 35.88C, 33.44C
01/11/2024 18:03:13 35.00C, 32.63C, 33.31C, 33.25C, 35.88C, 33.38C
01/11/2024 18:03:15 35.00C, 32.63C, 33.31C, 33.25C, 35.88C, 33.44C
01/11/2024 18:03:17 35.00C, 32.69C, 33.31C, 33.25C, 35.88C, 33.44C
01/11/2024 18:03:20 34.94C, 32.63C, 33.25C, 33.25C, 35.88C, 33.44C
01/11/2024 18:03:22 35.00C, 32.69C, 33.31C, 33.25C, 35.88C, 33.44C
01/11/2024 18:03:25 35.00C, 32.69C, 33.25C, 33.25C, 35.88C, 33.44C
01/11/2024 18:03:27 35.00C, 32.69C, 33.31C, 33.25C, 35.94C, 33.44C
01/11/2024 18:03:30 35.00C, 32.69C, 33.31C, 33.31C, 35.88C, 33.44C
01/11/2024 18:03:32 35.00C, 32.69C, 33.31C, 33.25C, 35.94C, 33.44C
01/11/2024 18:03:34 35.00C, 32.69C, 33.31C, 33.31C, 35.94C, 33.44C
01/11/2024 18:03:37 35.00C, 32.75C, 33.31C, 33.31C, 35.94C, 33.44C
01/11/2024 18:03:39 35.00C, 32.69C, 33.31C, 33.31C, 36.00C, 33.50C
01/11/2024 18:03:42 35.00C, 32.75C, 33.31C, 33.31C, 36.00C, 33.44C
01/11/2024 18:03:44 35.00C, 32.69C, 33.38C, 33.31C, 36.00C, 33.44C
01/11/2024 18:03:47 35.00C, 32.69C, 33.31C, 33.31C, 36.00C, 33.44C
01/11/2024 18:03:49 35.00C, 32.75C, 33.38C, 33.38C, 36.00C, 33.50C
01/11/2024 18:03:51 35.06C, 32.75C, 33.38C, 33.38C, 36.00C, 33.50C
01/11/2024 18:03:54 35.00C, 32.75C, 33.38C, 33.31C, 36.00C, 33.50C
01/11/2024 18:03:56 35.00C, 32.75C, 33.38C, 33.38C, 36.00C, 33.50C
01/11/2024 18:03:59 35.00C, 32.69C, 33.38C, 33.38C, 36.00C, 33.50C
01/11/2024 18:04:01 35.00C, 32.75C, 33.38C, 33.38C, 36.00C, 33.50C
01/11/2024 18:04:03 35.00C, 32.75C, 33.31C, 33.38C, 36.00C, 33.50C
01/11/2024 18:04:06 35.00C, 32.75C, 33.31C, 33.38C, 36.00C, 33.50C
01/11/2024 18:04:08 35.00C, 32.75C, 33.31C, 33.38C, 36.06C, 33.50C
01/11/2024 18:04:11 35.00C, 32.75C, 33.31C, 33.38C, 36.06C, 33.50C
01/11/2024 18:04:13 35.06C, 32.75C, 33.31C, 33.38C, 36.06C, 33.56C
01/11/2024 18:04:16 35.06C, 32.75C, 33.31C, 33.44C, 36.06C, 33.56C
01/11/2024 18:04:18 35.06C, 32.75C, 33.31C, 33.44C, 36.06C, 33.56C
01/11/2024 18:04:20 35.06C, 32.75C, 33.31C, 33.38C, 36.06C, 33.56C
01/11/2024 18:04:23 35.06C, 32.75C, 33.25C, 33.44C, 36.06C, 33.56C
01/11/2024 18:04:25 35.06C, 32.75C, 33.25C, 33.44C, 36.06C, 33.56C
01/11/2024 18:04:28 35.06C, 32.75C, 33.25C, 33.44C, 36.06C, 33.56C
01/11/2024 18:04:30 35.06C, 32.75C, 33.25C, 33.44C, 36.06C, 33.56C
01/11/2024 18:04:33 35.06C, 32.75C, 33.25C, 33.44C, 36.13C, 33.56C
01/11/2024 18:04:35 35.06C, 32.75C, 33.25C, 33.38C, 36.13C, 33.56C
01/11/2024 18:04:37 35.06C, 32.75C, 33.25C, 33.44C, 36.06C, 33.56C
01/11/2024 18:04:40 35.13C, 32.81C, 33.25C, 33.44C, 36.13C, 33.56C
01/11/2024 18:04:42 35.13C, 32.75C, 33.25C, 33.44C, 36.13C, 33.56C
01/11/2024 18:04:45 35.06C, 32.75C, 33.25C, 33.44C, 36.13C, 33.56C
01/11/2024 18:04:47 35.13C, 32.81C, 33.25C, 33.44C, 36.06C, 33.56C
01/11/2024 18:04:49 35.13C, 32.81C, 33.25C, 33.44C, 36.13C, 33.56C
01/11/2024 18:04:52 35.13C, 32.81C, 33.25C, 33.44C, 36.13C, 33.56C
01/11/2024 18:04:54 35.13C, 32.81C, 33.31C, 33.44C, 36.13C, 33.56C
01/11/2024 18:04:57 35.13C, 32.81C, 33.31C, 33.44C, 36.13C, 33.56C
01/11/2024 18:04:59 35.13C, 32.81C, 33.31C, 33.44C, 36.13C, 33.56C
01/11/2024 18:05:02 35.13C, 32.81C, 33.31C, 33.44C, 36.19C, 33.56C
01/11/2024 18:05:04 35.13C, 32.81C, 33.25C, 33.50C, 36.13C, 33.56C
01/11/2024 18:05:06 35.19C, 32.81C, 33.25C, 33.44C, 36.19C, 33.56C
01/11/2024 18:05:09 35.13C, 32.81C, 33.25C, 33.50C, 36.19C, 33.63C
01/11/2024 18:05:11 35.19C, 32.81C, 33.25C, 33.50C, 36.19C, 33.63C
01/11/2024 18:05:14 35.19C, 32.81C, 33.25C, 33.44C, 36.19C, 33.63C
01/11/2024 18:05:16 35.19C, 32.81C, 33.25C, 33.50C, 36.19C, 33.63C
01/11/2024 18:05:18 35.19C, 32.81C, 33.25C, 33.50C, 36.19C, 33.63C
01/11/2024 18:05:21 35.19C, 32.81C, 33.25C, 33.50C, 36.25C, 33.63C
01/11/2024 18:05:23 35.19C, 32.81C, 33.19C, 33.50C, 36.25C, 33.63C
01/11/2024 18:05:26 35.19C, 32.81C, 33.25C, 33.50C, 36.25C, 33.63C
01/11/2024 18:05:28 35.19C, 32.81C, 33.25C, 33.50C, 36.25C, 33.63C
01/11/2024 18:05:31 35.19C, 32.88C, 33.25C, 33.50C, 36.31C, 33.69C
01/11/2024 18:05:33 35.19C, 32.81C, 33.19C, 33.50C, 36.25C, 33.63C
01/11/2024 18:05:35 35.19C, 32.81C, 33.25C, 33.50C, 36.31C, 33.69C
01/11/2024 18:05:38 35.19C, 32.81C, 33.25C, 33.50C, 36.25C, 33.69C
01/11/2024 18:05:40 35.25C, 32.88C, 33.25C, 33.50C, 36.31C, 33.69C
01/11/2024 18:05:43 35.19C, 32.81C, 33.25C, 33.50C, 36.31C, 33.75C
01/11/2024 18:05:45 35.19C, 32.88C, 33.19C, 33.56C, 36.31C, 33.75C
01/11/2024 18:05:48 35.25C, 32.88C, 33.25C, 33.56C, 36.31C, 33.75C
01/11/2024 18:05:50 35.19C, 32.88C, 33.25C, 33.56C, 36.31C, 33.75C
01/11/2024 18:05:52 35.19C, 32.88C, 33.25C, 33.56C, 36.38C, 33.75C
01/11/2024 18:05:55 35.25C, 32.88C, 33.25C, 33.50C, 36.31C, 33.75C
01/11/2024 18:05:57 35.25C, 32.88C, 33.25C, 33.56C, 36.31C, 33.75C
01/11/2024 18:06:00 35.25C, 32.88C, 33.25C, 33.56C, 36.31C, 33.75C
01/11/2024 18:06:02 35.25C, 32.88C, 33.25C, 33.56C, 36.31C, 33.75C
01/11/2024 18:06:04 35.25C, 32.94C, 33.25C, 33.56C, 36.31C, 33.75C
01/11/2024 18:06:07 35.25C, 32.88C, 33.25C, 33.63C, 36.31C, 33.81C
01/11/2024 18:06:09 35.25C, 32.88C, 33.25C, 33.56C, 36.31C, 33.75C
01/11/2024 18:06:12 35.25C, 32.94C, 33.25C, 33.63C, 36.31C, 33.75C
01/11/2024 18:06:14 35.25C, 32.88C, 33.25C, 33.63C, 36.31C, 33.75C
01/11/2024 18:06:17 35.25C, 32.88C, 33.31C, 33.63C, 36.31C, 33.75C
01/11/2024 18:06:19 35.31C, 32.94C, 33.31C, 33.63C, 36.31C, 33.81C
01/11/2024 18:06:21 35.25C, 32.94C, 33.31C, 33.63C, 36.31C, 33.81C
01/11/2024 18:06:24 35.25C, 32.94C, 33.25C, 33.63C, 36.31C, 33.75C
01/11/2024 18:06:26 35.31C, 32.94C, 33.31C, 33.63C, 36.31C, 33.81C
01/11/2024 18:06:29 35.25C, 32.94C, 33.25C, 33.63C, 36.31C, 33.81C
01/11/2024 18:06:31 35.25C, 32.94C, 33.25C, 33.63C, 36.31C, 33.81C
01/11/2024 18:06:34 35.25C, 32.94C, 33.25C, 33.63C, 36.31C, 33.81C
01/11/2024 18:06:36 35.25C, 32.94C, 33.31C, 33.63C, 36.31C, 33.81C
01/11/2024 18:06:38 35.25C, 32.94C, 33.25C, 33.63C, 36.31C, 33.81C
01/11/2024 18:06:41 35.25C, 32.94C, 33.25C, 33.69C, 36.31C, 33.81C
01/11/2024 18:06:43 35.31C, 33.00C, 33.25C, 33.63C, 36.31C, 33.75C
01/11/2024 18:06:46 35.31C, 33.00C, 33.25C, 33.63C, 36.31C, 33.81C
01/11/2024 18:06:48 35.31C, 33.00C, 33.31C, 33.63C, 36.31C, 33.75C
01/11/2024 18:06:50 35.31C, 33.00C, 33.25C, 33.63C, 36.31C, 33.75C
01/11/2024 18:06:53 35.31C, 33.00C, 33.25C, 33.69C, 36.31C, 33.75C
01/11/2024 18:06:55 35.25C, 33.00C, 33.25C, 33.69C, 36.31C, 33.75C
01/11/2024 18:06:58 35.31C, 33.00C, 33.25C, 33.69C, 36.31C, 33.75C
01/11/2024 18:07:00 35.31C, 33.00C, 33.25C, 33.69C, 36.31C, 33.75C
01/11/2024 18:07:03 35.31C, 33.00C, 33.25C, 33.69C, 36.31C, 33.75C
01/11/2024 18:07:05 35.31C, 33.00C, 33.25C, 33.69C, 36.31C, 33.75C
01/11/2024 18:07:07 35.31C, 33.00C, 33.25C, 33.69C, 36.31C, 33.75C
01/11/2024 18:07:10 35.31C, 33.00C, 33.25C, 33.69C, 36.31C, 33.81C
01/11/2024 18:07:12 35.31C, 33.00C, 33.25C, 33.69C, 36.38C, 33.75C
01/11/2024 18:07:15 35.31C, 33.00C, 33.25C, 33.69C, 36.38C, 33.81C
01/11/2024 18:07:17 35.31C, 33.00C, 33.25C, 33.69C, 36.38C, 33.81C
01/11/2024 18:07:19 35.31C, 33.06C, 33.25C, 33.69C, 36.38C, 33.75C
01/11/2024 18:07:22 35.31C, 33.06C, 33.25C, 33.75C, 36.38C, 33.75C
01/11/2024 18:07:24 35.31C, 33.06C, 33.25C, 33.69C, 36.38C, 33.75C
01/11/2024 18:07:27 35.31C, 33.06C, 33.31C, 33.75C, 36.38C, 33.75C
01/11/2024 18:07:29 35.31C, 33.06C, 33.25C, 33.75C, 36.38C, 33.75C
01/11/2024 18:07:32 35.31C, 33.06C, 33.31C, 33.75C, 36.38C, 33.75C
01/11/2024 18:07:34 35.38C, 33.06C, 33.25C, 33.75C, 36.38C, 33.75C
01/11/2024 18:07:36 35.38C, 33.06C, 33.31C, 33.75C, 36.38C, 33.75C
01/11/2024 18:07:39 35.31C, 33.06C, 33.31C, 33.75C, 36.38C, 33.75C
01/11/2024 18:07:41 35.38C, 33.06C, 33.25C, 33.75C, 36.38C, 33.75C
01/11/2024 18:07:44 35.38C, 33.06C, 33.25C, 33.75C, 36.44C, 33.75C
01/11/2024 18:07:46 35.38C, 33.06C, 33.25C, 33.75C, 36.44C, 33.81C
01/11/2024 18:07:49 35.38C, 33.06C, 33.31C, 33.75C, 36.44C, 33.81C
01/11/2024 18:07:51 35.38C, 33.06C, 33.25C, 33.75C, 36.44C, 33.81C
01/11/2024 18:07:53 35.38C, 33.06C, 33.25C, 33.75C, 36.44C, 33.81C
01/11/2024 18:07:56 35.44C, 33.13C, 33.25C, 33.75C, 36.44C, 33.81C
01/11/2024 18:07:58 35.38C, 33.13C, 33.25C, 33.75C, 36.44C, 33.81C
01/11/2024 18:08:01 35.44C, 33.13C, 33.31C, 33.75C, 36.50C, 33.81C
01/11/2024 18:08:03 35.44C, 33.06C, 33.31C, 33.81C, 36.50C, 33.81C
01/11/2024 18:08:05 35.44C, 33.13C, 33.25C, 33.81C, 36.50C, 33.88C
01/11/2024 18:08:08 35.44C, 33.06C, 33.25C, 33.81C, 36.50C, 33.88C
01/11/2024 18:08:10 35.44C, 33.06C, 33.25C, 33.75C, 36.50C, 33.88C
01/11/2024 18:08:13 35.44C, 33.13C, 33.25C, 33.75C, 36.50C, 33.88C
01/11/2024 18:08:15 35.44C, 33.06C, 33.25C, 33.75C, 36.50C, 33.88C
01/11/2024 18:08:18 35.44C, 33.13C, 33.25C, 33.75C, 36.50C, 33.88C
01/11/2024 18:08:20 35.44C, 33.13C, 33.25C, 33.81C, 36.50C, 33.88C
01/11/2024 18:08:22 35.44C, 33.13C, 33.25C, 33.81C, 36.50C, 33.88C
01/11/2024 18:08:25 35.50C, 33.13C, 33.25C, 33.81C, 36.50C, 33.88C
01/11/2024 18:08:27 35.44C, 33.13C, 33.25C, 33.81C, 36.50C, 33.88C
01/11/2024 18:08:30 35.50C, 33.13C, 33.25C, 33.75C, 36.50C, 33.88C
01/11/2024 18:08:32 35.50C, 33.13C, 33.25C, 33.81C, 36.50C, 33.88C
01/11/2024 18:08:35 35.44C, 33.13C, 33.19C, 33.81C, 36.50C, 33.88C
01/11/2024 18:08:37 35.50C, 33.13C, 33.19C, 33.81C, 36.50C, 33.88C
01/11/2024 18:08:39 35.50C, 33.19C, 33.25C, 33.81C, 36.50C, 33.88C
01/11/2024 18:08:42 35.50C, 33.19C, 33.19C, 33.81C, 36.56C, 33.88C
01/11/2024 18:08:44 35.50C, 33.13C, 33.19C, 33.81C, 36.50C, 33.88C
01/11/2024 18:08:47 35.56C, 33.19C, 33.19C, 33.81C, 36.56C, 33.88C
01/11/2024 18:08:49 35.50C, 33.19C, 33.25C, 33.81C, 36.56C, 33.94C
01/11/2024 18:08:51 35.50C, 33.19C, 33.19C, 33.81C, 36.56C, 33.94C
01/11/2024 18:08:54 35.56C, 33.19C, 33.19C, 33.81C, 36.56C, 33.94C
01/11/2024 18:08:56 35.56C, 33.19C, 33.19C, 33.81C, 36.56C, 33.94C
01/11/2024 18:08:59 35.50C, 33.19C, 33.25C, 33.81C, 36.56C, 33.94C
01/11/2024 18:09:01 35.56C, 33.19C, 33.25C, 33.88C, 36.56C, 33.94C
01/11/2024 18:09:04 35.56C, 33.25C, 33.19C, 33.81C, 36.56C, 33.94C
01/11/2024 18:09:06 35.50C, 33.19C, 33.25C, 33.81C, 36.56C, 34.00C
01/11/2024 18:09:08 35.56C, 33.19C, 33.19C, 33.88C, 36.56C, 34.00C
01/11/2024 18:09:11 35.56C, 33.25C, 33.19C, 33.88C, 36.56C, 34.00C
01/11/2024 18:09:13 35.56C, 33.25C, 33.19C, 33.88C, 36.63C, 34.00C
01/11/2024 18:09:16 35.56C, 33.19C, 33.19C, 33.88C, 36.63C, 34.00C
01/11/2024 18:09:18 35.56C, 33.25C, 33.19C, 33.88C, 36.63C, 34.00C
01/11/2024 18:09:21 35.56C, 33.19C, 33.19C, 33.88C, 36.63C, 34.00C
01/11/2024 18:09:23 35.56C, 33.25C, 33.19C, 33.88C, 36.63C, 34.06C
01/11/2024 18:09:25 35.56C, 33.25C, 33.19C, 33.88C, 36.63C, 34.06C
01/11/2024 18:09:28 35.63C, 33.25C, 33.19C, 33.88C, 36.63C, 34.06C
01/11/2024 18:09:30 35.56C, 33.25C, 33.13C, 33.81C, 36.69C, 34.06C
01/11/2024 18:09:33 35.56C, 33.25C, 33.13C, 33.88C, 36.69C, 34.06C
01/11/2024 18:09:35 35.56C, 33.25C, 33.19C, 33.88C, 36.69C, 34.13C
01/11/2024 18:09:37 35.56C, 33.25C, 33.13C, 33.88C, 36.69C, 34.13C
01/11/2024 18:09:40 35.56C, 33.25C, 33.19C, 33.88C, 36.69C, 34.13C
01/11/2024 18:09:42 35.56C, 33.25C, 33.13C, 33.88C, 36.69C, 34.13C
01/11/2024 18:09:45 35.56C, 33.25C, 33.13C, 33.88C, 36.69C, 34.13C
01/11/2024 18:09:47 35.56C, 33.25C, 33.19C, 33.88C, 36.75C, 34.13C
01/11/2024 18:09:50 35.56C, 33.25C, 33.19C, 33.88C, 36.69C, 34.13C
01/11/2024 18:09:52 35.56C, 33.25C, 33.19C, 33.88C, 36.75C, 34.13C
01/11/2024 18:09:54 35.56C, 33.31C, 33.19C, 33.88C, 36.69C, 34.13C
01/11/2024 18:09:57 35.56C, 33.25C, 33.19C, 33.88C, 36.69C, 34.13C
01/11/2024 18:09:59 35.56C, 33.25C, 33.13C, 33.88C, 36.75C, 34.13C
01/11/2024 18:10:02 35.56C, 33.25C, 33.19C, 33.88C, 36.69C, 34.13C
01/11/2024 18:10:04 35.56C, 33.25C, 33.13C, 33.88C, 36.69C, 34.13C
01/11/2024 18:10:07 35.50C, 33.31C, 33.13C, 33.94C, 36.69C, 34.13C
01/11/2024 18:10:09 35.50C, 33.25C, 33.13C, 33.94C, 36.69C, 34.13C
01/11/2024 18:10:11 35.50C, 33.31C, 33.13C, 33.94C, 36.69C, 34.13C
01/11/2024 18:10:14 35.50C, 33.25C, 33.13C, 33.94C, 36.69C, 34.13C
01/11/2024 18:10:16 35.50C, 33.25C, 33.13C, 33.88C, 36.69C, 34.13C
01/11/2024 18:10:19 35.56C, 33.25C, 33.13C, 33.94C, 36.69C, 34.13C
01/11/2024 18:10:21 35.50C, 33.31C, 33.13C, 33.94C, 36.69C, 34.13C
01/11/2024 18:10:24 35.50C, 33.31C, 33.13C, 33.94C, 36.69C, 34.13C
01/11/2024 18:10:26 35.50C, 33.31C, 33.13C, 33.88C, 36.69C, 34.13C
01/11/2024 18:10:28 35.50C, 33.31C, 33.13C, 33.94C, 36.69C, 34.13C
01/11/2024 18:10:31 35.50C, 33.31C, 33.13C, 33.94C, 36.69C, 34.13C
01/11/2024 18:10:33 35.50C, 33.31C, 33.13C, 33.94C, 36.69C, 34.13C
01/11/2024 18:10:36 35.50C, 33.31C, 33.13C, 33.94C, 36.69C, 34.13C
01/11/2024 18:10:38 35.50C, 33.31C, 33.13C, 33.94C, 36.63C, 34.13C
01/11/2024 18:10:40 35.50C, 33.31C, 33.13C, 33.94C, 36.63C, 34.06C
01/11/2024 18:10:43 35.50C, 33.38C, 33.13C, 33.94C, 36.63C, 34.13C
01/11/2024 18:10:45 35.44C, 33.31C, 33.13C, 33.94C, 36.63C, 34.13C
01/11/2024 18:10:48 35.44C, 33.38C, 33.13C, 33.94C, 36.63C, 34.13C
01/11/2024 18:10:50 35.44C, 33.31C, 33.13C, 33.94C, 36.63C, 34.13C
01/11/2024 18:10:53 35.50C, 33.38C, 33.13C, 33.94C, 36.63C, 34.13C
01/11/2024 18:10:55 35.50C, 33.38C, 33.13C, 33.94C, 36.63C, 34.06C
01/11/2024 18:10:57 35.50C, 33.38C, 33.13C, 33.94C, 36.63C, 34.06C
01/11/2024 18:11:00 35.50C, 33.31C, 33.13C, 33.94C, 36.63C, 34.06C
01/11/2024 18:11:02 35.50C, 33.31C, 33.13C, 33.94C, 36.63C, 34.06C
01/11/2024 18:11:05 35.50C, 33.38C, 33.13C, 33.94C, 36.63C, 34.06C
01/11/2024 18:11:07 35.50C, 33.31C, 33.13C, 33.94C, 36.63C, 34.13C
01/11/2024 18:11:10 35.50C, 33.38C, 33.13C, 33.94C, 36.63C, 34.06C
01/11/2024 18:11:12 35.50C, 33.38C, 33.13C, 33.94C, 36.63C, 34.06C
01/11/2024 18:11:14 35.50C, 33.38C, 33.13C, 33.94C, 36.63C, 34.06C
01/11/2024 18:11:17 35.50C, 33.38C, 33.19C, 34.00C, 36.63C, 34.06C
01/11/2024 18:11:19 35.50C, 33.38C, 33.19C, 33.94C, 36.56C, 34.06C
01/11/2024 18:11:22 35.44C, 33.38C, 33.19C, 34.00C, 36.56C, 34.06C
01/11/2024 18:11:24 35.50C, 33.38C, 33.19C, 34.00C, 36.56C, 34.00C
01/11/2024 18:11:27 35.50C, 33.38C, 33.25C, 34.00C, 36.50C, 33.94C
01/11/2024 18:11:29 35.50C, 33.38C, 33.25C, 33.94C, 36.50C, 33.94C
01/11/2024 18:11:31 35.50C, 33.38C, 33.25C, 34.00C, 36.44C, 33.88C
01/11/2024 18:11:34 35.56C, 33.38C, 33.25C, 33.94C, 36.38C, 33.81C
01/11/2024 18:11:36 35.50C, 33.38C, 33.25C, 33.88C, 36.31C, 33.81C
01/11/2024 18:11:39 35.56C, 33.38C, 33.25C, 33.94C, 36.31C, 33.75C
01/11/2024 18:11:41 35.50C, 33.38C, 33.31C, 33.88C, 36.25C, 33.75C
01/11/2024 18:11:43 35.50C, 33.38C, 33.31C, 33.88C, 36.25C, 33.69C
01/11/2024 18:11:46 35.50C, 33.31C, 33.31C, 33.88C, 36.25C, 33.69C
01/11/2024 18:11:48 35.50C, 33.31C, 33.31C, 33.88C, 36.25C, 33.69C
01/11/2024 18:11:51 35.44C, 33.31C, 33.25C, 33.88C, 36.25C, 33.69C
01/11/2024 18:11:53 35.38C, 33.31C, 33.25C, 33.88C, 36.25C, 33.69C
01/11/2024 18:11:56 35.38C, 33.31C, 33.25C, 33.81C, 36.19C, 33.63C
01/11/2024 18:11:58 35.38C, 33.25C, 33.25C, 33.81C, 36.25C, 33.63C
01/11/2024 18:12:00 35.31C, 33.31C, 33.25C, 33.81C, 36.25C, 33.69C
01/11/2024 18:12:03 35.31C, 33.31C, 33.25C, 33.81C, 36.19C, 33.63C
01/11/2024 18:12:05 35.31C, 33.31C, 33.25C, 33.81C, 36.25C, 33.63C
